Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00     18.49     0.00        5     0.00     0.00  void std::__insertion_sort<nd*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)> >(nd*, nd*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)>)
  0.00     18.49     0.00        5     0.00     0.00  void std::__insertion_sort<int*, __gnu_cxx::__ops::_Iter_less_iter>(int*, int*, __gnu_cxx::__ops::_Iter_less_iter)
  0.00     18.49     0.00        5     0.00     0.00  void std::__introsort_loop<nd*, int, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)> >(nd*, nd*, int, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)>)
  0.00     18.49     0.00        5     0.00     0.00  void std::__introsort_loop<int*, int, __gnu_cxx::__ops::_Iter_less_iter>(int*, int*, int, __gnu_cxx::__ops::_Iter_less_iter)
  0.00     18.49     0.00        5     0.00     0.00  void std::__final_insertion_sort<nd*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)> >(nd*, nd*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)>)
  0.00     18.49     0.00        5     0.00     0.00  void std::__final_insertion_sort<int*, __gnu_cxx::__ops::_Iter_less_iter>(int*, int*, __gnu_cxx::__ops::_Iter_less_iter)
  0.00     18.49     0.00        5     0.00     0.00  void std::__unguarded_insertion_sort<nd*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)> >(nd*, nd*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)>)
  0.00     18.49     0.00        5     0.00     0.00  void std::__unguarded_insertion_sort<int*, __gnu_cxx::__ops::_Iter_less_iter>(int*, int*, __gnu_cxx::__ops::_Iter_less_iter)
  0.00     18.49     0.00        5     0.00     0.00  void std::sort<nd*, bool (*)(nd const&, nd const&)>(nd*, nd*, bool (*)(nd const&, nd const&))
  0.00     18.49     0.00        5     0.00     0.00  void std::sort<int*>(int*, int*)
  0.00     18.49     0.00        5     0.00     0.00  void std::__sort<nd*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)> >(nd*, nd*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(nd const&, nd const&)>)
  0.00     18.49     0.00        5     0.00     0.00  void std::__sort<int*, __gnu_cxx::__ops::_Iter_less_iter>(int*, int*, __gnu_cxx::__ops::_Iter_less_iter)
  0.00     18.49     0.00        5     0.00     0.00  std::_Rb_tree_node<std::pair<int const, int> >*& std::forward<std::_Rb_tree_node<std::pair<int const, int> >*&>(std::remove_reference<std::_Rb_tree_node<std::pair<int const, int> >*&>::type&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.05% of 18.49 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     73.2    0.38   13.16                 main [1]
                3.05    2.88 19962026/19962026     find(int, int, int) [2]
                4.16    0.00 10001023/10001023     insert(int, int, int) [4]
                2.82    0.00 9947554/9947554     get_sum(int, int, int) [5]
                0.22    0.00    9993/9993        build(int, int, int) [8]
                0.00    0.03   19986/19986       std::map<int, int, std::less<int>, std::allocator<std::pair<int const, int> > >::operator[](int const&) [10]
                0.00    0.00   10011/10011       __gcc_deregister_frame [54]
                0.00    0.00       5/5           std::map<int, int, std::less<int>, std::allocator<std::pair<int const, int> > >::clear() [121]
